,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,evening,morning,noon,early_bird,night_owl,frosh,junior,senior,soph
892,892,893,13.64,0.29,0.46,2,6,table tennis,4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
892,892,893,0.0,0.35,0.39,2,4,table tennis,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
892,892,893,22.36,0.49,0.04,3,3,table tennis,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
892,892,893,25.61,0.59,0.13,3,3,table tennis,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
892,892,893,46.4,0.23,0.39,3,1,table tennis,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
892,892,893,35.57,0.22,0.46,5,1,table tennis,4,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
892,892,893,15.25,0.24,0.08,5,0,table tennis,4,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
892,892,893,28.92,0.15,0.0,6,2,table tennis,4,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
892,892,893,15.4,0.0,0.18,7,2,table tennis,4,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
892,892,893,29.1,0.0,0.26,8,2,table tennis,4,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
