,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,evening,morning,noon,early_bird,night_owl,frosh,junior,senior,soph
802,802,803,46.68,0.8300000000000001,0.46,8,7,curling,6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
802,802,803,32.24,0.8300000000000001,0.51,8,8,curling,6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
802,802,803,53.22,0.71,0.64,9,11,curling,6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
802,802,803,51.75,0.86,0.12,10,10,curling,6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
802,802,803,38.31,0.94,0.27,9,9,curling,6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
802,802,803,45.29,0.92,0.0,9,8,curling,6,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
802,802,803,55.14,0.68,0.0,10,9,curling,6,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
802,802,803,36.41,0.67,0.0,9,10,curling,6,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
802,802,803,24.52,0.13,0.01,10,10,curling,6,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
802,802,803,32.12,0.11,0.0,10,11,curling,6,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
