,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,evening,morning,noon,early_bird,night_owl,frosh,junior,senior,soph
161,161,162,55.38,0.85,0.29,10,9,football,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
161,161,162,52.48,1.0,0.34,10,8,football,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
161,161,162,48.68,1.0,0.09,9,8,football,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
161,161,162,45.78,1.0,0.0,9,9,football,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
161,161,162,41.59,0.98,0.15,9,10,football,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
161,161,162,39.39,0.85,0.0,9,11,football,3,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
161,161,162,40.02,0.67,0.04,9,10,football,3,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
161,161,162,46.15,0.11,0.0,10,10,football,3,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
161,161,162,30.64,0.12,0.0,9,10,football,3,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
161,161,162,35.67,0.0,0.0,10,10,football,3,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
