,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,evening,morning,noon,early_bird,night_owl,frosh,junior,senior,soph
167,167,168,22.82,0.08,0.19,4,2,martial arts,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
167,167,168,21.24,0.0,0.29,4,3,martial arts,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
167,167,168,12.62,0.0,0.0,2,4,martial arts,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
167,167,168,29.98,0.17,0.02,0,3,martial arts,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
167,167,168,0.5,0.17,0.26,1,2,martial arts,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
167,167,168,44.03,0.39,0.66,1,2,martial arts,2,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
167,167,168,45.63,1.0,0.56,2,2,martial arts,2,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
167,167,168,64.21000000000001,0.94,0.94,1,1,martial arts,2,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
167,167,168,55.25,1.0,0.91,0,1,martial arts,2,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
167,167,168,50.83,0.9,0.86,0,2,martial arts,2,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
