,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,evening,morning,noon,early_bird,night_owl,frosh,junior,senior,soph
871,871,872,38.09,0.23,0.62,0,6,gymnastics,6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
871,871,872,23.1,0.47,0.77,0,6,gymnastics,6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
871,871,872,18.88,0.0,1.0,0,7,gymnastics,6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
871,871,872,20.16,0.04,0.97,1,8,gymnastics,6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
871,871,872,20.32,0.0,1.0,1,9,gymnastics,6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
871,871,872,18.49,0.0,0.86,2,9,gymnastics,6,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
871,871,872,0.0,0.0,0.6900000000000001,3,8,gymnastics,6,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
871,871,872,13.18,0.07,0.67,4,9,gymnastics,6,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
871,871,872,30.18,0.28,0.81,4,8,gymnastics,6,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
871,871,872,14.65,0.07,0.6900000000000001,3,8,gymnastics,6,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
