,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,evening,morning,noon,early_bird,night_owl,frosh,junior,senior,soph
150,150,151,44.82,0.65,0.85,5,9,table tennis,5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
150,150,151,28.64,0.5,0.52,5,9,table tennis,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
150,150,151,4.44,0.33,0.08,6,11,table tennis,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
150,150,151,15.67,0.48,0.2,5,11,table tennis,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
150,150,151,49.65,1.0,0.5700000000000001,5,12,table tennis,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
150,150,151,50.52,1.0,0.7000000000000001,6,12,table tennis,5,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
150,150,151,42.58,1.0,0.0,6,12,table tennis,5,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
150,150,151,40.83,0.89,0.13,7,12,table tennis,5,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
150,150,151,47.8,1.0,0.15,8,11,table tennis,5,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
150,150,151,39.93,0.99,0.0,8,11,table tennis,5,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
