,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,evening,morning,noon,early_bird,night_owl,frosh,junior,senior,soph
986,986,987,29.14,0.33,0.62,3,11,table tennis,4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
986,986,987,35.480000000000004,0.0,0.8200000000000001,3,10,table tennis,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
986,986,987,13.16,0.0,1.0,3,8,table tennis,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
986,986,987,19.84,0.2,0.95,4,7,table tennis,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
986,986,987,60.86,0.5700000000000001,1.0,3,6,table tennis,4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
986,986,987,45.32,0.1,1.0,3,6,table tennis,4,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
986,986,987,45.76,0.07,1.0,1,7,table tennis,4,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
986,986,987,16.34,0.0,1.0,1,6,table tennis,4,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
986,986,987,35.1,0.07,1.0,0,8,table tennis,4,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
986,986,987,41.7,0.0,0.98,0,10,table tennis,4,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
