,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,evening,morning,noon,early_bird,night_owl,frosh,junior,senior,soph
93,93,94,42.06,0.84,0.52,6,3,football,6,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
93,93,94,53.28,0.85,0.58,8,3,football,6,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
93,93,94,24.93,0.84,0.0,8,3,football,6,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
93,93,94,24.0,0.54,0.1,7,3,football,6,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
93,93,94,1.49,0.05,0.01,6,2,football,6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
93,93,94,24.01,0.05,0.0,7,2,football,6,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
93,93,94,38.54,0.32,0.03,5,2,football,6,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
93,93,94,38.49,0.4,0.0,5,1,football,6,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
93,93,94,0.0,0.38,0.04,5,1,football,6,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
93,93,94,7.09,0.44,0.11,5,2,football,6,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
