,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,evening,morning,noon,early_bird,night_owl,frosh,junior,senior,soph
773,773,774,49.15,0.44,0.95,1,9,martial arts,4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
773,773,774,41.49,0.0,1.0,2,7,martial arts,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
773,773,774,19.06,0.0,1.0,2,6,martial arts,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
773,773,774,10.36,0.0,0.8,2,5,martial arts,4,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
773,773,774,30.01,0.0,1.0,2,4,martial arts,4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
773,773,774,35.93,0.16,1.0,2,6,martial arts,4,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
773,773,774,43.09,0.15,0.97,4,5,martial arts,4,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
773,773,774,45.25,0.7000000000000001,0.81,4,6,martial arts,4,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
773,773,774,51.8,0.52,1.0,3,4,martial arts,4,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
773,773,774,25.99,0.18,0.87,4,3,martial arts,4,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
