,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,evening,morning,noon,early_bird,night_owl,frosh,junior,senior,soph
58,58,59,42.49,0.78,0.76,5,2,baseball,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
58,58,59,38.21,0.34,0.66,4,1,baseball,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
58,58,59,47.38,0.64,0.8300000000000001,5,3,baseball,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
58,58,59,29.14,0.36,0.72,6,1,baseball,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
58,58,59,36.17,0.76,0.7000000000000001,6,1,baseball,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
58,58,59,59.25,0.95,0.66,8,3,baseball,3,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
58,58,59,62.46,0.84,0.97,7,2,baseball,3,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
58,58,59,53.4,0.92,0.74,8,4,baseball,3,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
58,58,59,47.98,0.99,0.51,7,4,baseball,3,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
58,58,59,38.97,1.0,0.39,6,5,baseball,3,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
