,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,evening,morning,noon,early_bird,night_owl,frosh,junior,senior,soph
30,30,31,67.7,0.96,0.97,6,10,curling,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
30,30,31,58.94,0.76,0.92,7,10,curling,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
30,30,31,61.97,0.81,0.8,7,11,curling,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
30,30,31,59.19,1.0,0.65,7,10,curling,4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30,30,31,55.48,1.0,0.71,7,10,curling,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
30,30,31,53.2,0.85,0.61,7,11,curling,4,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30,30,31,36.66,0.72,0.8200000000000001,5,10,curling,4,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30,30,31,45.0,1.0,0.64,5,10,curling,4,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
30,30,31,52.26,0.87,0.51,4,12,curling,4,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30,30,31,32.71,1.0,0.05,4,12,curling,4,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
