,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,evening,morning,noon,early_bird,night_owl,frosh,junior,senior,soph
215,215,216,27.45,0.4,0.48,6,5,table tennis,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
215,215,216,29.13,0.34,0.72,6,3,table tennis,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
215,215,216,26.15,0.18,1.0,7,3,table tennis,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
215,215,216,27.24,0.07,1.0,7,3,table tennis,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
215,215,216,23.22,0.2,0.98,6,3,table tennis,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
215,215,216,4.62,0.0,0.91,6,3,table tennis,3,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
215,215,216,59.35,0.0,0.79,4,4,table tennis,3,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
215,215,216,43.78,0.17,0.2,4,6,table tennis,3,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
215,215,216,33.61,0.22,0.1,3,5,table tennis,3,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
215,215,216,31.44,0.0,0.08,4,5,table tennis,3,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
