,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
4,5,49.35,east coast,noon,0.93,0.6900000000000001,9,5,night owl,martial arts,4,junior
4,5,59.83,east coast,noon,0.97,0.7000000000000001,8,4,night owl,martial arts,4,junior
4,5,78.31,east coast,noon,1.0,0.96,8,3,night owl,martial arts,4,junior
4,5,59.05,east coast,noon,0.81,0.9,8,2,night owl,martial arts,4,junior
4,5,85.94,east coast,evening,1.0,1.0,9,1,night owl,martial arts,4,junior
4,5,72.88,west coast,noon,1.0,1.0,10,0,night owl,martial arts,4,senior
4,5,75.03,west coast,noon,0.88,1.0,10,1,night owl,martial arts,4,senior
4,5,54.27,west coast,noon,0.73,0.91,9,0,night owl,martial arts,4,senior
4,5,68.51,west coast,noon,1.0,0.86,9,2,night owl,martial arts,4,senior
4,5,68.63,west coast,noon,1.0,0.85,9,2,night owl,martial arts,4,senior
