,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
713,714,0.0,west coast,evening,0.28,0.02,6,1,night owl,gymnastics,4,frosh
713,714,29.49,west coast,evening,0.58,0.05,6,1,night owl,gymnastics,4,frosh
713,714,46.79,west coast,noon,1.0,0.31,6,1,night owl,gymnastics,4,frosh
713,714,34.550000000000004,west coast,noon,1.0,0.61,6,1,night owl,gymnastics,4,frosh
713,714,63.27,west coast,evening,1.0,0.97,5,0,night owl,gymnastics,4,frosh
713,714,54.99,west coast,noon,1.0,1.0,5,0,night owl,gymnastics,4,frosh
713,714,39.4,west coast,noon,1.0,0.84,5,0,night owl,gymnastics,4,frosh
713,714,46.1,west coast,noon,1.0,0.81,4,0,night owl,gymnastics,4,frosh
713,714,35.2,west coast,noon,1.0,0.54,7,0,night owl,gymnastics,4,frosh
713,714,26.58,west coast,noon,0.95,0.46,7,0,night owl,gymnastics,4,frosh
