,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
300,301,0.0,west coast,noon,0.37,0.44,2,7,night owl,football,6,sophomore
300,301,21.36,west coast,noon,0.0,0.96,2,6,night owl,football,6,sophomore
300,301,0.0,west coast,noon,0.05,0.75,1,4,night owl,football,6,sophomore
300,301,33.59,west coast,evening,0.09,0.53,0,3,night owl,football,6,sophomore
300,301,14.05,west coast,noon,0.06,0.0,0,4,night owl,football,6,sophomore
300,301,14.99,west coast,noon,0.0,0.0,0,5,night owl,football,6,sophomore
300,301,36.13,west coast,evening,0.03,0.08,0,5,night owl,football,6,sophomore
300,301,0.0,west coast,noon,0.0,0.03,1,4,night owl,football,6,sophomore
300,301,24.68,west coast,noon,0.05,0.26,0,3,night owl,football,6,sophomore
300,301,0.0,west coast,noon,0.0,0.0,0,3,night owl,football,6,sophomore
