,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
242,243,41.66,east coast,evening,0.6900000000000001,0.2,9,11,night owl,football,5,sophomore
242,243,42.15,east coast,noon,0.8,0.43,9,10,night owl,football,5,sophomore
242,243,40.58,east coast,evening,1.0,0.12,8,10,night owl,football,5,sophomore
242,243,25.85,east coast,noon,1.0,0.02,6,10,night owl,football,5,sophomore
242,243,31.92,east coast,evening,1.0,0.07,5,11,night owl,football,5,sophomore
242,243,21.2,west coast,noon,0.98,0.24,5,10,night owl,football,5,sophomore
242,243,39.34,west coast,noon,0.98,0.37,6,9,night owl,football,5,sophomore
242,243,38.32,west coast,morning,0.99,0.11,7,10,night owl,football,5,sophomore
242,243,49.31,west coast,noon,0.88,0.33,8,9,night owl,football,5,sophomore
242,243,41.97,west coast,noon,0.6900000000000001,0.3,8,9,night owl,football,5,sophomore
