,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
391,392,48.52,west coast,noon,0.81,0.74,6,6,early bird,basketball,5,sophomore
391,392,51.46,west coast,evening,0.74,0.7000000000000001,5,5,early bird,basketball,5,sophomore
391,392,71.94,west coast,noon,1.0,1.0,5,5,early bird,basketball,5,sophomore
391,392,64.23,west coast,noon,1.0,0.93,6,4,early bird,basketball,5,junior
391,392,69.88,west coast,noon,0.94,1.0,6,5,early bird,basketball,5,junior
391,392,71.16,west coast,evening,0.94,1.0,5,4,early bird,basketball,5,senior
391,392,66.33,west coast,noon,1.0,1.0,4,4,early bird,basketball,5,senior
391,392,57.69,west coast,noon,1.0,0.9,3,3,early bird,basketball,5,senior
391,392,44.05,west coast,noon,0.95,0.71,3,2,early bird,basketball,5,senior
391,392,67.45,west coast,noon,0.95,0.96,5,2,early bird,basketball,5,senior
