,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
698,699,32.43,west coast,noon,0.55,0.38,6,3,night owl,martial arts,4,sophomore
698,699,35.58,west coast,noon,0.16,1.0,6,3,night owl,martial arts,4,sophomore
698,699,35.28,west coast,noon,0.0,0.94,7,3,night owl,martial arts,4,sophomore
698,699,47.48,west coast,morning,0.1,1.0,8,2,night owl,martial arts,4,sophomore
698,699,41.49,west coast,noon,0.0,1.0,9,5,night owl,martial arts,4,sophomore
698,699,46.73,west coast,morning,0.2,1.0,9,5,night owl,martial arts,4,sophomore
698,699,33.84,west coast,noon,0.0,0.96,9,4,night owl,martial arts,4,sophomore
698,699,37.3,west coast,noon,0.01,0.8,10,4,night owl,martial arts,4,sophomore
698,699,35.45,west coast,noon,0.04,0.52,9,4,night owl,martial arts,4,sophomore
698,699,40.54,west coast,evening,0.12,0.21,9,3,night owl,martial arts,4,sophomore
