,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
8,9,12.38,east coast,noon,0.45,0.62,2,9,night owl,table tennis,4,junior
8,9,7.78,east coast,noon,0.26,0.11,2,10,night owl,table tennis,4,junior
8,9,17.27,east coast,noon,0.31,0.0,2,9,night owl,table tennis,4,junior
8,9,21.32,east coast,noon,0.0,0.02,2,9,night owl,table tennis,4,junior
8,9,21.86,east coast,evening,0.0,0.0,2,8,night owl,table tennis,4,junior
8,9,0.0,west coast,noon,0.0,0.01,3,6,night owl,table tennis,4,junior
8,9,8.8,west coast,noon,0.0,0.08,5,7,night owl,table tennis,4,junior
8,9,31.75,west coast,noon,0.0,0.23,3,6,night owl,table tennis,4,senior
8,9,12.53,west coast,noon,0.07,0.4,3,8,night owl,table tennis,4,senior
8,9,9.88,west coast,noon,0.0,0.51,2,7,night owl,table tennis,4,senior
