,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
278,279,31.1,east coast,evening,0.62,0.35,7,5,early bird,frisbee,4,sophomore
278,279,27.71,east coast,noon,0.41,0.33,7,7,early bird,frisbee,4,sophomore
278,279,45.68,east coast,noon,0.89,0.4,7,7,early bird,frisbee,4,sophomore
278,279,31.46,east coast,noon,0.97,0.0,6,7,early bird,frisbee,4,sophomore
278,279,45.02,east coast,noon,0.79,0.0,8,8,early bird,frisbee,4,sophomore
278,279,36.42,west coast,evening,1.0,0.0,9,8,early bird,frisbee,4,sophomore
278,279,45.8,west coast,noon,0.85,0.04,9,9,early bird,frisbee,4,sophomore
278,279,56.54,west coast,noon,0.6,0.02,8,10,early bird,frisbee,4,sophomore
278,279,61.09,west coast,morning,1.0,0.02,8,10,early bird,frisbee,4,sophomore
278,279,52.870000000000005,west coast,morning,0.76,0.07,8,12,early bird,frisbee,4,sophomore
