,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
334,335,7.88,west coast,noon,0.12,0.02,6,4,night owl,gymnastics,4,frosh
334,335,33.7,west coast,evening,0.0,0.0,7,4,night owl,gymnastics,4,frosh
334,335,0.0,west coast,morning,0.15,0.0,7,3,night owl,gymnastics,4,frosh
334,335,10.4,west coast,noon,0.46,0.0,4,4,night owl,gymnastics,4,frosh
334,335,0.0,west coast,noon,0.0,0.0,5,2,night owl,gymnastics,4,frosh
334,335,19.11,west coast,noon,0.0,0.11,6,3,night owl,gymnastics,4,frosh
334,335,17.21,west coast,noon,0.06,0.21,7,2,night owl,gymnastics,4,frosh
334,335,9.39,west coast,noon,0.0,0.39,8,2,night owl,gymnastics,4,frosh
334,335,4.69,west coast,noon,0.0,0.84,8,2,night owl,gymnastics,4,frosh
334,335,11.99,west coast,noon,0.0,0.71,8,2,night owl,gymnastics,4,frosh
