,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
579,580,77.46000000000001,west coast,evening,0.89,0.97,5,9,night owl,frisbee,4,sophomore
579,580,72.98,west coast,evening,0.78,0.97,7,10,night owl,frisbee,4,sophomore
579,580,74.7,west coast,noon,0.9,1.0,7,12,night owl,frisbee,4,sophomore
579,580,64.35,west coast,noon,0.62,1.0,8,12,night owl,frisbee,4,sophomore
579,580,77.71000000000001,west coast,noon,1.0,1.0,6,12,night owl,frisbee,4,sophomore
579,580,66.6,west coast,morning,1.0,0.98,6,12,night owl,frisbee,4,sophomore
579,580,71.51,west coast,noon,0.87,0.96,6,11,night owl,frisbee,4,sophomore
579,580,78.88,west coast,noon,0.91,1.0,6,11,night owl,frisbee,4,sophomore
579,580,63.92,west coast,noon,0.65,1.0,6,12,night owl,frisbee,4,sophomore
579,580,32.13,west coast,noon,0.19,0.88,6,12,night owl,frisbee,4,sophomore
