,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
873,874,41.75,west coast,noon,0.67,0.52,8,8,night owl,football,3,sophomore
873,874,41.39,west coast,noon,0.63,0.39,9,8,night owl,football,3,sophomore
873,874,29.39,west coast,noon,0.79,0.0,9,7,night owl,football,3,sophomore
873,874,28.82,west coast,noon,0.5700000000000001,0.01,10,6,night owl,football,3,sophomore
873,874,36.42,west coast,noon,0.79,0.0,9,6,night owl,football,3,sophomore
873,874,48.8,west coast,evening,0.53,0.07,8,5,night owl,football,3,sophomore
873,874,36.09,west coast,noon,0.31,0.0,8,5,night owl,football,3,sophomore
873,874,29.54,west coast,noon,0.54,0.04,7,7,night owl,football,3,sophomore
873,874,49.95,west coast,noon,0.52,0.0,7,7,night owl,football,3,sophomore
873,874,13.61,west coast,noon,0.05,0.03,6,8,night owl,football,3,sophomore
