,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
803,804,42.09,west coast,noon,0.7000000000000001,0.8300000000000001,6,9,night owl,football,3,senior
803,804,55.07,west coast,noon,0.8,0.91,8,8,night owl,football,3,senior
803,804,68.9,west coast,evening,0.68,0.92,8,7,night owl,football,3,senior
803,804,57.33,west coast,noon,0.63,0.75,9,7,night owl,football,3,senior
803,804,49.91,west coast,noon,0.93,0.76,8,7,night owl,football,3,senior
803,804,44.81,west coast,noon,0.84,0.36,8,6,night owl,football,3,senior
803,804,48.09,west coast,noon,0.9,0.18,8,6,night owl,football,3,senior
803,804,36.18,west coast,noon,1.0,0.0,8,5,night owl,football,3,senior
803,804,31.17,west coast,noon,0.94,0.05,6,5,night owl,football,3,senior
803,804,31.47,west coast,noon,0.72,0.04,4,5,night owl,football,3,senior
