,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
419,420,64.21000000000001,west coast,evening,0.86,0.79,7,3,night owl,basketball,6,sophomore
419,420,44.03,west coast,noon,0.7000000000000001,0.81,6,4,night owl,basketball,6,sophomore
419,420,41.02,west coast,noon,0.53,0.68,7,4,night owl,basketball,6,sophomore
419,420,40.26,west coast,noon,0.26,0.46,10,3,night owl,basketball,6,sophomore
419,420,40.19,west coast,noon,0.41,0.71,10,2,night owl,basketball,6,sophomore
419,420,7.55,west coast,noon,0.0,0.72,9,3,night owl,basketball,6,sophomore
419,420,29.17,west coast,noon,0.0,0.34,10,2,night owl,basketball,6,sophomore
419,420,15.35,west coast,noon,0.0,0.13,10,2,night owl,basketball,6,sophomore
419,420,28.55,west coast,evening,0.12,0.14,10,1,night owl,basketball,6,sophomore
419,420,1.66,west coast,noon,0.0,0.0,9,0,night owl,basketball,6,sophomore
