,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
627,628,64.17,west coast,evening,0.99,0.56,10,9,night owl,curling,4,sophomore
627,628,56.43,west coast,noon,1.0,0.42,8,8,night owl,curling,4,sophomore
627,628,42.14,west coast,evening,0.99,0.0,9,7,night owl,curling,4,sophomore
627,628,36.59,west coast,noon,1.0,0.01,9,6,night owl,curling,4,sophomore
627,628,45.06,west coast,noon,1.0,0.0,9,8,night owl,curling,4,sophomore
627,628,46.58,west coast,noon,1.0,0.0,9,9,night owl,curling,4,sophomore
627,628,47.66,west coast,noon,0.98,0.06,10,10,night owl,curling,4,sophomore
627,628,46.08,west coast,noon,1.0,0.14,8,10,night owl,curling,4,sophomore
627,628,42.55,west coast,noon,1.0,0.24,10,11,night owl,curling,4,sophomore
627,628,42.51,west coast,noon,0.88,0.0,9,11,night owl,curling,4,sophomore
