,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
209,210,21.37,east coast,evening,0.28,0.17,5,2,night owl,table tennis,3,sophomore
209,210,9.12,east coast,noon,0.32,0.0,5,2,night owl,table tennis,3,sophomore
209,210,29.94,east coast,noon,0.32,0.0,5,2,night owl,table tennis,3,sophomore
209,210,4.54,east coast,morning,0.0,0.0,5,0,night owl,table tennis,3,sophomore
209,210,20.66,east coast,noon,0.0,0.0,3,0,night owl,table tennis,3,sophomore
209,210,10.01,west coast,evening,0.11,0.01,3,0,night owl,table tennis,3,sophomore
209,210,0.0,west coast,noon,0.0,0.15,1,0,night owl,table tennis,3,sophomore
209,210,0.0,west coast,noon,0.11,0.23,0,0,night owl,table tennis,3,sophomore
209,210,0.0,west coast,noon,0.05,0.14,0,1,night owl,table tennis,3,sophomore
209,210,14.69,west coast,evening,0.0,0.0,0,2,night owl,table tennis,3,sophomore
