,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
629,630,65.84,west coast,evening,0.88,0.71,8,10,night owl,table tennis,4,senior
629,630,69.64,west coast,noon,1.0,0.81,9,8,night owl,table tennis,4,senior
629,630,66.11,west coast,evening,0.99,0.8300000000000001,9,8,night owl,table tennis,4,senior
629,630,49.42,west coast,noon,0.88,0.45,9,11,night owl,table tennis,4,senior
629,630,56.85,west coast,noon,1.0,0.6,9,12,night owl,table tennis,4,senior
629,630,51.89,west coast,noon,1.0,0.52,8,12,night owl,table tennis,4,senior
629,630,57.58,west coast,noon,1.0,0.68,7,12,night owl,table tennis,4,senior
629,630,48.45,west coast,noon,0.95,0.63,9,12,night owl,table tennis,4,senior
629,630,45.85,west coast,noon,1.0,0.41,8,12,night owl,table tennis,4,senior
629,630,54.67,west coast,noon,0.97,0.59,8,11,night owl,table tennis,4,senior
