,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
675,676,42.41,west coast,evening,0.38,0.45,5,3,night owl,football,3,sophomore
675,676,68.03,west coast,noon,0.92,1.0,5,3,night owl,football,3,sophomore
675,676,75.95,west coast,evening,1.0,1.0,4,3,night owl,football,3,sophomore
675,676,58.870000000000005,west coast,noon,0.93,1.0,4,2,night owl,football,3,sophomore
675,676,46.82,west coast,noon,1.0,0.86,3,2,night owl,football,3,sophomore
675,676,43.74,west coast,noon,1.0,0.65,2,4,night owl,football,3,sophomore
675,676,63.32,west coast,noon,1.0,1.0,2,4,night owl,football,3,sophomore
675,676,73.92,west coast,evening,1.0,1.0,2,3,night owl,football,3,sophomore
675,676,62.39,west coast,noon,0.96,1.0,1,3,night owl,football,3,sophomore
675,676,55.73,west coast,noon,0.9,1.0,0,3,night owl,football,3,sophomore
