,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
950,951,22.51,west coast,noon,0.54,0.5700000000000001,2,3,night owl,curling,4,senior
950,951,35.32,west coast,noon,0.88,0.33,1,2,night owl,curling,4,senior
950,951,60.75,west coast,evening,0.96,0.76,2,3,night owl,curling,4,senior
950,951,52.21,west coast,noon,0.79,0.9,0,1,night owl,curling,4,senior
950,951,53.38,west coast,noon,0.9,0.97,1,2,night owl,curling,4,senior
950,951,63.26,west coast,noon,1.0,1.0,3,4,night owl,curling,4,senior
950,951,58.92,west coast,noon,0.92,0.97,4,6,night owl,curling,4,senior
950,951,67.3,west coast,noon,0.89,1.0,4,5,night owl,curling,4,senior
950,951,65.7,west coast,noon,1.0,1.0,2,5,night owl,curling,4,senior
950,951,60.27,west coast,noon,1.0,1.0,3,7,night owl,curling,4,senior
