,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
488,489,53.76,west coast,evening,0.84,0.8300000000000001,4,11,early bird,curling,4,sophomore
488,489,38.26,west coast,noon,0.8300000000000001,0.74,4,9,early bird,curling,4,sophomore
488,489,48.75,west coast,noon,0.92,0.61,5,10,early bird,curling,4,sophomore
488,489,25.79,west coast,noon,0.87,0.21,4,10,early bird,curling,4,sophomore
488,489,29.16,west coast,noon,0.92,0.2,4,11,early bird,curling,4,sophomore
488,489,26.4,west coast,noon,1.0,0.33,5,12,early bird,curling,4,sophomore
488,489,15.04,west coast,evening,1.0,0.0,2,12,early bird,curling,4,sophomore
488,489,7.62,west coast,noon,1.0,0.09,3,10,early bird,curling,4,sophomore
488,489,18.71,west coast,evening,1.0,0.15,3,8,early bird,curling,4,sophomore
488,489,41.79,west coast,evening,0.75,0.34,2,8,early bird,curling,4,sophomore
