,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
941,942,51.94,west coast,evening,0.7000000000000001,0.84,8,11,early bird,table tennis,3,junior
941,942,55.46,west coast,evening,0.96,0.61,8,10,early bird,table tennis,3,junior
941,942,49.4,west coast,noon,0.93,0.64,9,9,early bird,table tennis,3,junior
941,942,65.22,west coast,evening,0.91,0.8300000000000001,9,8,early bird,table tennis,3,junior
941,942,71.4,west coast,noon,0.91,0.92,10,6,early bird,table tennis,3,junior
941,942,56.96,west coast,noon,1.0,0.67,9,6,early bird,table tennis,3,junior
941,942,63.71,west coast,noon,1.0,0.76,9,5,early bird,table tennis,3,senior
941,942,69.0,west coast,noon,1.0,0.78,10,7,early bird,table tennis,3,senior
941,942,76.94,west coast,noon,0.98,1.0,9,6,early bird,table tennis,3,senior
941,942,78.81,west coast,noon,1.0,1.0,9,5,early bird,table tennis,3,senior
