,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
326,327,30.34,west coast,evening,0.48,0.5,7,10,early bird,table tennis,5,sophomore
326,327,42.71,west coast,noon,0.21,0.0,8,11,early bird,table tennis,5,sophomore
326,327,42.89,west coast,noon,0.41,0.0,8,10,early bird,table tennis,5,sophomore
326,327,46.59,west coast,noon,0.76,0.09,7,10,early bird,table tennis,5,sophomore
326,327,49.94,west coast,noon,0.78,0.0,6,9,early bird,table tennis,5,sophomore
326,327,54.85,west coast,morning,1.0,0.0,6,11,early bird,table tennis,5,sophomore
326,327,44.53,west coast,evening,1.0,0.03,6,10,early bird,table tennis,5,sophomore
326,327,44.66,west coast,noon,0.88,0.04,6,9,early bird,table tennis,5,sophomore
326,327,32.55,west coast,evening,1.0,0.0,8,12,early bird,table tennis,5,sophomore
326,327,28.35,west coast,noon,1.0,0.12,7,11,early bird,table tennis,5,sophomore
