,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
654,655,68.09,west coast,evening,0.36,0.97,5,12,night owl,frisbee,3,junior
654,655,29.22,west coast,noon,0.37,0.75,5,12,night owl,frisbee,3,junior
654,655,57.39,west coast,noon,0.55,0.99,5,11,night owl,frisbee,3,junior
654,655,47.69,west coast,noon,0.31,0.98,7,12,night owl,frisbee,3,senior
654,655,59.26,west coast,noon,0.26,1.0,7,12,night owl,frisbee,3,senior
654,655,56.01,west coast,noon,0.24,1.0,8,11,night owl,frisbee,3,senior
654,655,55.9,west coast,noon,0.49,0.96,8,12,night owl,frisbee,3,senior
654,655,55.72,west coast,noon,0.42,1.0,5,11,night owl,frisbee,3,senior
654,655,45.07,west coast,evening,0.25,1.0,4,11,night owl,frisbee,3,senior
654,655,47.32,west coast,noon,0.34,1.0,2,12,night owl,frisbee,3,senior
