,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
261,262,56.65,east coast,morning,0.86,0.66,8,11,night owl,baseball,3,senior
261,262,66.4,east coast,noon,0.76,1.0,7,11,night owl,baseball,3,senior
261,262,62.43,east coast,noon,0.78,1.0,6,12,night owl,baseball,3,senior
261,262,39.09,east coast,noon,0.36,1.0,6,12,night owl,baseball,3,senior
261,262,53.46,east coast,noon,0.59,1.0,6,12,night owl,baseball,3,senior
261,262,65.01,west coast,evening,0.74,0.94,5,12,night owl,baseball,3,senior
261,262,71.58,west coast,evening,0.97,0.99,5,12,night owl,baseball,3,senior
261,262,81.72,west coast,evening,1.0,1.0,6,12,night owl,baseball,3,senior
261,262,66.09,west coast,noon,1.0,1.0,6,11,night owl,baseball,3,senior
261,262,67.1,west coast,noon,1.0,1.0,7,10,night owl,baseball,3,senior
