,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
115,116,9.7,east coast,evening,0.13,0.14,4,1,night owl,football,2,junior
115,116,25.21,east coast,noon,0.0,0.17,3,0,night owl,football,2,junior
115,116,0.0,east coast,noon,0.14,0.0,3,1,night owl,football,2,junior
115,116,21.99,east coast,noon,0.32,0.05,4,3,night owl,football,2,junior
115,116,15.8,east coast,morning,0.16,0.0,4,2,night owl,football,2,junior
115,116,28.05,west coast,noon,0.39,0.01,2,2,night owl,football,2,junior
115,116,53.29,west coast,noon,0.0,0.12,3,2,night owl,football,2,junior
115,116,33.660000000000004,west coast,evening,0.0,0.3,2,3,night owl,football,2,junior
115,116,35.14,west coast,evening,0.0,0.15,1,3,night owl,football,2,junior
115,116,5.4,west coast,noon,0.14,0.23,2,4,night owl,football,2,junior
