,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
204,205,27.53,east coast,evening,0.13,0.22,5,7,night owl,table tennis,3,sophomore
204,205,24.58,east coast,noon,0.4,0.5,5,6,night owl,table tennis,3,sophomore
204,205,21.94,east coast,noon,0.55,0.0,4,6,night owl,table tennis,3,sophomore
204,205,23.39,east coast,morning,0.76,0.04,3,5,night owl,table tennis,3,sophomore
204,205,18.67,east coast,noon,0.43,0.0,3,6,night owl,table tennis,3,sophomore
204,205,26.85,west coast,evening,0.86,0.04,1,6,night owl,table tennis,3,sophomore
204,205,0.0,west coast,noon,0.88,0.0,0,5,night owl,table tennis,3,sophomore
204,205,11.34,west coast,noon,1.0,0.0,0,4,night owl,table tennis,3,sophomore
204,205,9.57,west coast,noon,1.0,0.0,1,4,night owl,table tennis,3,sophomore
204,205,46.39,west coast,evening,0.98,0.17,2,4,night owl,table tennis,3,sophomore
