,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
536,537,42.59,west coast,morning,0.41,0.44,1,1,night owl,football,4,frosh
536,537,17.98,west coast,evening,0.6,0.41,1,1,night owl,football,4,frosh
536,537,40.78,west coast,noon,0.76,0.79,0,2,night owl,football,4,frosh
536,537,37.37,west coast,morning,0.8,0.85,0,2,night owl,football,4,frosh
536,537,37.15,west coast,noon,0.67,0.89,0,4,night owl,football,4,frosh
536,537,31.31,west coast,morning,0.47,0.78,0,5,night owl,football,4,frosh
536,537,21.03,west coast,noon,0.44,0.75,0,6,night owl,football,4,frosh
536,537,16.03,west coast,noon,0.05,1.0,1,7,night owl,football,4,frosh
536,537,36.7,west coast,noon,0.14,1.0,3,6,night owl,football,4,frosh
536,537,34.15,west coast,evening,0.23,1.0,2,6,night owl,football,4,frosh
