,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
268,269,67.87,east coast,morning,0.9,0.79,9,10,night owl,martial arts,4,sophomore
268,269,63.7,east coast,noon,1.0,0.73,7,10,night owl,martial arts,4,sophomore
268,269,72.92,east coast,noon,0.89,0.92,7,10,night owl,martial arts,4,sophomore
268,269,53.05,east coast,noon,0.47,1.0,7,9,night owl,martial arts,4,sophomore
268,269,52.35,east coast,noon,0.47,0.95,10,10,night owl,martial arts,4,sophomore
268,269,66.42,west coast,evening,0.49,0.91,9,10,night owl,martial arts,4,sophomore
268,269,72.75,west coast,evening,0.77,0.93,7,10,night owl,martial arts,4,sophomore
268,269,70.02,west coast,evening,0.86,0.8300000000000001,7,11,night owl,martial arts,4,sophomore
268,269,65.02,west coast,noon,1.0,0.81,9,11,night owl,martial arts,4,junior
268,269,64.69,west coast,noon,1.0,0.78,10,12,night owl,martial arts,4,senior
