,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
9,10,8.64,east coast,noon,0.37,0.35,6,2,night owl,basketball,3,frosh
9,10,20.99,east coast,noon,0.08,0.64,6,3,night owl,basketball,3,frosh
9,10,13.97,east coast,noon,0.07,0.47,6,4,night owl,basketball,3,frosh
9,10,35.980000000000004,east coast,noon,0.0,0.73,7,3,night owl,basketball,3,frosh
9,10,28.9,east coast,evening,0.0,0.54,8,3,night owl,basketball,3,frosh
9,10,23.23,west coast,noon,0.0,0.52,8,5,night owl,basketball,3,frosh
9,10,26.98,west coast,noon,0.0,0.0,7,5,night owl,basketball,3,frosh
9,10,36.6,west coast,noon,0.0,0.0,7,5,night owl,basketball,3,frosh
9,10,29.19,west coast,noon,0.0,0.0,7,6,night owl,basketball,3,sophomore
9,10,41.52,west coast,noon,0.0,0.0,5,6,night owl,basketball,3,sophomore
