,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
175,176,49.99,east coast,evening,0.92,0.73,4,9,night owl,curling,5,frosh
175,176,49.58,east coast,noon,0.95,0.35,7,7,night owl,curling,5,frosh
175,176,39.96,east coast,noon,0.92,0.5700000000000001,7,6,night owl,curling,5,frosh
175,176,51.21,east coast,noon,1.0,0.71,7,5,night owl,curling,5,frosh
175,176,50.370000000000005,east coast,noon,0.93,0.79,8,6,night owl,curling,5,frosh
175,176,40.63,west coast,morning,0.75,0.68,7,5,night owl,curling,5,frosh
175,176,28.88,west coast,noon,0.0,0.88,8,5,night owl,curling,5,frosh
175,176,33.95,west coast,noon,0.0,1.0,7,4,night owl,curling,5,frosh
175,176,30.12,west coast,noon,0.13,0.96,7,3,night owl,curling,5,frosh
175,176,23.75,west coast,noon,0.08,1.0,6,3,night owl,curling,5,frosh
