,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
847,848,37.07,west coast,noon,0.68,0.47,3,3,night owl,curling,5,junior
847,848,47.19,west coast,evening,1.0,0.5700000000000001,3,2,night owl,curling,5,junior
847,848,64.52,west coast,noon,1.0,1.0,2,3,night owl,curling,5,junior
847,848,60.370000000000005,west coast,noon,0.95,1.0,2,2,night owl,curling,5,junior
847,848,54.55,west coast,noon,0.97,0.96,3,1,night owl,curling,5,junior
847,848,60.09,west coast,evening,0.76,0.97,2,2,night owl,curling,5,junior
847,848,51.1,west coast,noon,0.91,0.96,2,3,night owl,curling,5,junior
847,848,52.02,west coast,noon,1.0,0.91,3,2,night owl,curling,5,junior
847,848,49.64,west coast,noon,0.99,0.68,3,4,night owl,curling,5,junior
847,848,21.52,west coast,noon,1.0,0.26,3,4,night owl,curling,5,junior
