,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
852,853,76.02,west coast,evening,0.88,0.72,9,11,night owl,martial arts,5,sophomore
852,853,65.74,west coast,morning,1.0,0.77,10,11,night owl,martial arts,5,sophomore
852,853,54.57,west coast,noon,0.88,0.58,8,11,night owl,martial arts,5,sophomore
852,853,39.05,west coast,morning,0.5,0.67,6,11,night owl,martial arts,5,sophomore
852,853,31.97,west coast,morning,0.0,0.49,7,12,night owl,martial arts,5,sophomore
852,853,31.61,west coast,noon,0.14,1.0,5,12,night owl,martial arts,5,sophomore
852,853,22.56,west coast,noon,0.01,0.95,5,12,night owl,martial arts,5,sophomore
852,853,36.13,west coast,noon,0.0,1.0,5,12,night owl,martial arts,5,sophomore
852,853,33.35,west coast,noon,0.0,1.0,5,12,night owl,martial arts,5,sophomore
852,853,37.01,west coast,evening,0.02,0.98,4,12,night owl,martial arts,5,sophomore
