,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
569,570,46.11,west coast,noon,0.77,0.91,3,6,night owl,table tennis,5,junior
569,570,36.74,west coast,noon,1.0,0.71,2,5,night owl,table tennis,5,junior
569,570,53.88,west coast,evening,0.93,0.7000000000000001,3,7,night owl,table tennis,5,junior
569,570,22.78,west coast,noon,0.8300000000000001,0.51,3,8,night owl,table tennis,5,junior
569,570,39.55,west coast,noon,0.9,0.66,3,8,night owl,table tennis,5,junior
569,570,23.92,west coast,morning,0.94,0.58,2,8,night owl,table tennis,5,junior
569,570,52.63,west coast,noon,1.0,0.88,1,11,night owl,table tennis,5,junior
569,570,62.74,west coast,noon,0.94,1.0,1,12,night owl,table tennis,5,junior
569,570,63.73,west coast,noon,1.0,1.0,3,11,night owl,table tennis,5,junior
569,570,62.9,west coast,noon,0.91,1.0,3,10,night owl,table tennis,5,junior
