,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
52,53,26.82,east coast,noon,0.27,0.12,3,10,night owl,table tennis,4,frosh
52,53,37.06,east coast,noon,0.47,0.4,3,10,night owl,table tennis,4,frosh
52,53,48.17,east coast,noon,0.5700000000000001,0.77,4,9,night owl,table tennis,4,frosh
52,53,26.5,east coast,noon,0.35,0.24,5,10,night owl,table tennis,4,frosh
52,53,38.37,east coast,noon,0.75,0.63,5,9,night owl,table tennis,4,frosh
52,53,47.56,west coast,noon,0.4,1.0,6,10,night owl,table tennis,4,frosh
52,53,40.16,west coast,noon,0.32,0.92,7,11,night owl,table tennis,4,frosh
52,53,32.74,west coast,morning,0.27,0.8,7,10,night owl,table tennis,4,frosh
52,53,20.58,west coast,noon,0.05,0.92,8,11,night owl,table tennis,4,frosh
52,53,26.38,west coast,noon,0.05,0.93,8,11,night owl,table tennis,4,frosh
