,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
342,343,66.72,west coast,evening,0.71,0.5700000000000001,9,9,night owl,martial arts,4,sophomore
342,343,68.09,west coast,noon,0.49,1.0,9,10,night owl,martial arts,4,sophomore
342,343,61.65,west coast,noon,0.51,0.97,10,9,night owl,martial arts,4,sophomore
342,343,89.28,west coast,evening,0.86,0.98,10,9,night owl,martial arts,4,sophomore
342,343,66.93,west coast,noon,0.88,0.8300000000000001,10,9,night owl,martial arts,4,sophomore
342,343,62.71,west coast,noon,0.6,0.92,10,9,night owl,martial arts,4,sophomore
342,343,66.66,west coast,noon,0.4,0.99,10,10,night owl,martial arts,4,sophomore
342,343,46.55,west coast,evening,0.13,0.88,8,10,night owl,martial arts,4,sophomore
342,343,44.09,west coast,noon,0.28,0.75,8,10,night owl,martial arts,4,sophomore
342,343,46.78,west coast,noon,0.24,0.42,9,9,night owl,martial arts,4,sophomore
