,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
882,883,32.9,west coast,evening,0.3,0.06,6,3,night owl,football,4,sophomore
882,883,20.96,west coast,noon,0.36,0.25,5,3,night owl,football,4,sophomore
882,883,16.12,west coast,noon,0.42,0.19,4,4,night owl,football,4,sophomore
882,883,22.39,west coast,evening,0.41,0.4,4,5,night owl,football,4,sophomore
882,883,22.19,west coast,noon,0.8200000000000001,0.32,3,5,night owl,football,4,sophomore
882,883,31.7,west coast,noon,0.53,0.21,4,4,night owl,football,4,sophomore
882,883,38.17,west coast,evening,0.26,0.38,3,3,night owl,football,4,sophomore
882,883,0.0,west coast,noon,0.25,0.54,3,2,night owl,football,4,sophomore
882,883,25.05,west coast,evening,0.46,0.63,4,2,night owl,football,4,sophomore
882,883,4.22,west coast,noon,0.16,0.72,4,2,night owl,football,4,sophomore
