,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
968,969,53.16,west coast,evening,0.8200000000000001,0.58,8,10,night owl,table tennis,5,junior
968,969,66.22,west coast,noon,0.86,1.0,6,10,night owl,table tennis,5,junior
968,969,37.31,west coast,evening,0.36,1.0,4,11,night owl,table tennis,5,junior
968,969,66.33,west coast,noon,0.6900000000000001,1.0,5,10,night owl,table tennis,5,junior
968,969,54.76,west coast,noon,1.0,0.91,4,11,night owl,table tennis,5,junior
968,969,60.79,west coast,evening,1.0,0.84,5,10,night owl,table tennis,5,junior
968,969,60.72,west coast,noon,1.0,1.0,5,8,night owl,table tennis,5,junior
968,969,69.78,west coast,noon,1.0,1.0,7,7,night owl,table tennis,5,junior
968,969,57.93,west coast,noon,1.0,0.87,7,8,night owl,table tennis,5,junior
968,969,68.08,west coast,noon,0.9,1.0,6,6,night owl,table tennis,5,junior
