,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
251,252,27.22,east coast,evening,0.19,0.52,2,7,night owl,baseball,3,senior
251,252,20.85,east coast,noon,0.14,0.18,1,6,night owl,baseball,3,senior
251,252,40.06,east coast,noon,0.32,0.27,2,6,night owl,baseball,3,senior
251,252,16.52,east coast,noon,0.26,0.15,2,6,night owl,baseball,3,senior
251,252,23.05,east coast,morning,0.41,0.4,2,7,night owl,baseball,3,senior
251,252,47.67,west coast,evening,0.0,1.0,2,6,night owl,baseball,3,senior
251,252,23.73,west coast,noon,0.03,0.99,1,6,night owl,baseball,3,senior
251,252,31.07,west coast,noon,0.0,1.0,3,4,night owl,baseball,3,senior
251,252,36.57,west coast,morning,0.11,1.0,4,2,night owl,baseball,3,senior
251,252,42.73,west coast,noon,0.0,1.0,3,1,night owl,baseball,3,senior
