,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
267,268,63.07,east coast,morning,0.87,0.85,9,6,night owl,table tennis,3,senior
267,268,63.07,east coast,noon,0.76,0.89,8,7,night owl,table tennis,3,senior
267,268,67.95,east coast,noon,1.0,0.8300000000000001,8,8,night owl,table tennis,3,senior
267,268,75.79,east coast,noon,0.89,1.0,9,9,night owl,table tennis,3,senior
267,268,82.5,east coast,noon,1.0,1.0,10,11,night owl,table tennis,3,senior
267,268,90.75,west coast,evening,1.0,1.0,10,10,night owl,table tennis,3,senior
267,268,89.42,west coast,evening,1.0,1.0,9,11,night owl,table tennis,3,senior
267,268,78.11,west coast,evening,1.0,0.9,8,11,night owl,table tennis,3,senior
267,268,74.94,west coast,noon,1.0,0.99,8,12,night owl,table tennis,3,senior
267,268,72.84,west coast,noon,1.0,1.0,8,12,night owl,table tennis,3,senior
