,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
97,98,49.1,east coast,morning,0.62,0.77,5,10,early bird,curling,4,junior
97,98,49.94,east coast,evening,0.89,0.73,8,11,early bird,curling,4,senior
97,98,36.58,east coast,evening,1.0,0.44,7,10,early bird,curling,4,senior
97,98,44.72,east coast,evening,0.95,0.55,5,11,early bird,curling,4,senior
97,98,51.4,east coast,noon,1.0,0.88,5,11,early bird,curling,4,senior
97,98,71.51,west coast,morning,0.96,0.98,3,11,early bird,curling,4,senior
97,98,61.5,west coast,noon,0.94,0.99,2,12,early bird,curling,4,senior
97,98,48.67,west coast,evening,0.71,1.0,1,11,early bird,curling,4,senior
97,98,56.36,west coast,morning,0.76,0.85,1,10,early bird,curling,4,senior
97,98,40.56,west coast,noon,0.76,0.68,2,8,early bird,curling,4,senior
