,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
480,481,36.69,west coast,evening,0.07,0.34,2,4,night owl,martial arts,1,sophomore
480,481,23.02,west coast,noon,0.0,0.0,1,4,night owl,martial arts,1,sophomore
480,481,24.37,west coast,noon,0.0,0.18,2,4,night owl,martial arts,1,sophomore
480,481,25.76,west coast,noon,0.09,0.36,3,4,night owl,martial arts,1,sophomore
480,481,30.25,west coast,noon,0.0,1.0,1,3,night owl,martial arts,1,sophomore
480,481,20.57,west coast,noon,0.0,0.79,2,5,night owl,martial arts,1,sophomore
480,481,18.81,west coast,evening,0.0,0.36,2,5,night owl,martial arts,1,sophomore
480,481,7.51,west coast,noon,0.11,0.33,1,4,night owl,martial arts,1,sophomore
480,481,29.51,west coast,evening,0.42,0.72,1,3,night owl,martial arts,1,sophomore
480,481,44.14,west coast,evening,0.55,0.59,0,3,night owl,martial arts,1,sophomore
