,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
651,652,58.85,west coast,evening,0.51,0.49,7,6,early bird,frisbee,3,sophomore
651,652,53.38,west coast,noon,0.86,0.52,8,6,early bird,frisbee,3,sophomore
651,652,36.22,west coast,noon,0.55,0.13,8,5,early bird,frisbee,3,sophomore
651,652,35.14,west coast,noon,0.45,0.46,6,6,early bird,frisbee,3,sophomore
651,652,82.62,west coast,noon,0.84,1.0,7,6,early bird,frisbee,3,sophomore
651,652,82.57000000000001,west coast,noon,0.95,0.99,8,5,early bird,frisbee,3,sophomore
651,652,81.72,west coast,noon,0.97,1.0,8,4,early bird,frisbee,3,sophomore
651,652,80.12,west coast,noon,0.96,1.0,7,4,early bird,frisbee,3,sophomore
651,652,71.42,west coast,evening,0.98,0.94,8,2,early bird,frisbee,3,sophomore
651,652,52.57,west coast,noon,0.84,0.59,9,1,early bird,frisbee,3,sophomore
