,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
589,590,39.6,west coast,noon,0.65,0.59,4,6,early bird,baseball,6,junior
589,590,33.74,west coast,noon,0.79,0.73,4,6,early bird,baseball,6,junior
589,590,55.83,west coast,noon,0.74,1.0,5,6,early bird,baseball,6,senior
589,590,42.94,west coast,noon,0.46,1.0,7,4,early bird,baseball,6,senior
589,590,67.08,west coast,noon,0.73,1.0,7,4,early bird,baseball,6,senior
589,590,64.78,west coast,noon,1.0,0.95,8,3,early bird,baseball,6,senior
589,590,70.09,west coast,morning,0.88,1.0,7,3,early bird,baseball,6,senior
589,590,47.21,west coast,noon,0.87,0.81,8,3,early bird,baseball,6,senior
589,590,70.09,west coast,morning,1.0,1.0,6,2,early bird,baseball,6,senior
589,590,63.85,west coast,noon,1.0,0.98,6,2,early bird,baseball,6,senior
