,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
452,453,42.86,west coast,evening,0.81,0.11,8,8,night owl,baseball,6,frosh
452,453,0.0,west coast,noon,0.28,0.0,9,8,night owl,baseball,6,frosh
452,453,29.13,west coast,noon,0.54,0.0,10,9,night owl,baseball,6,frosh
452,453,28.8,west coast,noon,0.19,0.18,10,9,night owl,baseball,6,frosh
452,453,26.71,west coast,noon,0.51,0.17,10,9,night owl,baseball,6,frosh
452,453,36.26,west coast,morning,0.94,0.38,8,10,night owl,baseball,6,frosh
452,453,18.26,west coast,noon,1.0,0.0,8,11,night owl,baseball,6,frosh
452,453,40.94,west coast,noon,1.0,0.05,8,10,night owl,baseball,6,frosh
452,453,39.4,west coast,evening,0.94,0.03,8,10,night owl,baseball,6,frosh
452,453,23.91,west coast,noon,1.0,0.05,6,9,night owl,baseball,6,frosh
