,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
595,596,26.24,west coast,morning,0.37,0.47,2,3,night owl,martial arts,3,junior
595,596,30.65,west coast,noon,0.44,0.46,1,3,night owl,martial arts,3,junior
595,596,31.57,west coast,evening,0.0,0.78,1,4,night owl,martial arts,3,junior
595,596,4.57,west coast,noon,0.0,0.73,1,3,night owl,martial arts,3,junior
595,596,23.75,west coast,morning,0.05,0.86,1,2,night owl,martial arts,3,junior
595,596,20.17,west coast,noon,0.0,0.71,0,3,night owl,martial arts,3,junior
595,596,12.12,west coast,noon,0.06,0.84,0,1,night owl,martial arts,3,junior
595,596,28.65,west coast,morning,0.21,1.0,2,1,night owl,martial arts,3,junior
595,596,32.57,west coast,noon,0.18,1.0,2,1,night owl,martial arts,3,junior
595,596,28.97,west coast,noon,0.0,0.92,2,0,night owl,martial arts,3,junior
