,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
121,122,33.89,east coast,evening,0.48,0.56,3,3,night owl,frisbee,4,junior
121,122,69.38,east coast,noon,0.6900000000000001,1.0,3,3,night owl,frisbee,4,junior
121,122,71.66,east coast,evening,1.0,0.96,3,2,night owl,frisbee,4,junior
121,122,68.15,east coast,morning,1.0,0.96,2,3,night owl,frisbee,4,junior
121,122,71.2,east coast,noon,1.0,1.0,1,2,night owl,frisbee,4,junior
121,122,67.81,west coast,noon,0.91,1.0,1,2,night owl,frisbee,4,junior
121,122,63.33,west coast,noon,1.0,1.0,0,3,night owl,frisbee,4,junior
121,122,67.4,west coast,noon,0.96,1.0,1,4,night owl,frisbee,4,junior
121,122,64.7,west coast,evening,0.99,0.91,2,3,night owl,frisbee,4,junior
121,122,73.61,west coast,evening,1.0,0.98,1,2,night owl,frisbee,4,junior
