,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
612,613,30.46,west coast,morning,0.36,0.45,4,6,night owl,martial arts,3,senior
612,613,44.67,west coast,evening,0.56,0.07,5,6,night owl,martial arts,3,senior
612,613,50.63,west coast,noon,0.75,0.0,6,5,night owl,martial arts,3,senior
612,613,41.97,west coast,noon,0.96,0.05,7,5,night owl,martial arts,3,senior
612,613,44.78,west coast,noon,1.0,0.13,7,6,night owl,martial arts,3,senior
612,613,45.79,west coast,noon,0.88,0.0,6,7,night owl,martial arts,3,senior
612,613,36.94,west coast,noon,1.0,0.0,7,7,night owl,martial arts,3,senior
612,613,40.47,west coast,noon,1.0,0.09,6,8,night owl,martial arts,3,senior
612,613,37.07,west coast,noon,1.0,0.0,6,5,night owl,martial arts,3,senior
612,613,36.49,west coast,noon,0.95,0.0,5,5,night owl,martial arts,3,senior
