,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
700,701,56.120000000000005,west coast,evening,0.63,0.6900000000000001,7,11,night owl,frisbee,3,junior
700,701,33.86,west coast,morning,0.54,0.32,7,11,night owl,frisbee,3,junior
700,701,20.14,west coast,morning,0.21,0.79,7,12,night owl,frisbee,3,junior
700,701,29.74,west coast,noon,0.4,0.64,6,12,night owl,frisbee,3,junior
700,701,42.25,west coast,noon,0.52,0.43,5,11,night owl,frisbee,3,junior
700,701,44.99,west coast,noon,0.66,0.05,5,10,night owl,frisbee,3,junior
700,701,44.76,west coast,noon,1.0,0.24,4,10,night owl,frisbee,3,junior
700,701,41.08,west coast,noon,1.0,0.15,2,10,night owl,frisbee,3,junior
700,701,53.27,west coast,noon,1.0,0.67,1,12,night owl,frisbee,3,junior
700,701,60.04,west coast,evening,0.97,0.76,2,11,night owl,frisbee,3,junior
