,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
247,248,40.77,east coast,evening,0.32,0.86,4,6,night owl,basketball,3,junior
247,248,32.32,east coast,noon,0.27,0.66,5,5,night owl,basketball,3,junior
247,248,52.64,east coast,evening,0.39,1.0,4,5,night owl,basketball,3,junior
247,248,65.62,east coast,noon,0.66,1.0,6,5,night owl,basketball,3,junior
247,248,67.07000000000001,east coast,evening,0.52,1.0,6,5,night owl,basketball,3,junior
247,248,52.98,west coast,noon,0.5700000000000001,0.93,6,7,night owl,basketball,3,junior
247,248,56.870000000000005,west coast,noon,0.94,0.75,5,9,night owl,basketball,3,junior
247,248,59.61,west coast,morning,1.0,0.71,6,9,night owl,basketball,3,junior
247,248,76.91,west coast,noon,0.93,1.0,6,9,night owl,basketball,3,junior
247,248,61.370000000000005,west coast,noon,1.0,0.78,7,9,night owl,basketball,3,junior
