,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
842,843,18.11,west coast,noon,0.11,0.67,3,1,night owl,frisbee,1,junior
842,843,36.2,west coast,evening,0.4,0.77,1,1,night owl,frisbee,1,junior
842,843,10.38,west coast,noon,0.27,0.81,0,0,night owl,frisbee,1,junior
842,843,21.39,west coast,noon,0.51,0.29,0,0,night owl,frisbee,1,junior
842,843,21.81,west coast,noon,0.46,0.14,0,1,night owl,frisbee,1,junior
842,843,18.71,west coast,evening,0.06,0.18,0,1,night owl,frisbee,1,junior
842,843,22.48,west coast,noon,0.19,0.37,0,2,night owl,frisbee,1,junior
842,843,33.89,west coast,noon,0.2,0.49,0,3,night owl,frisbee,1,junior
842,843,25.83,west coast,noon,0.0,0.0,0,2,night owl,frisbee,1,junior
842,843,0.0,west coast,noon,0.0,0.16,0,2,night owl,frisbee,1,junior
