,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
559,560,25.79,west coast,evening,0.25,0.28,2,0,night owl,martial arts,7,frosh
559,560,0.0,west coast,noon,0.16,0.16,4,1,night owl,martial arts,7,frosh
559,560,0.0,west coast,noon,0.37,0.25,3,1,night owl,martial arts,7,frosh
559,560,16.34,west coast,noon,0.2,0.37,4,0,night owl,martial arts,7,frosh
559,560,18.76,west coast,noon,0.0,0.34,2,0,night owl,martial arts,7,frosh
559,560,20.48,west coast,morning,0.0,1.0,2,0,night owl,martial arts,7,frosh
559,560,12.41,west coast,noon,0.0,0.89,1,0,night owl,martial arts,7,frosh
559,560,41.76,west coast,evening,0.05,1.0,1,1,night owl,martial arts,7,frosh
559,560,23.19,west coast,noon,0.16,1.0,2,1,night owl,martial arts,7,frosh
559,560,29.58,west coast,noon,0.31,1.0,1,0,night owl,martial arts,7,frosh
