,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
306,307,0.0,west coast,noon,0.15,0.14,3,2,night owl,gymnastics,4,sophomore
306,307,6.6000000000000005,west coast,noon,0.17,0.0,2,2,night owl,gymnastics,4,sophomore
306,307,0.0,west coast,noon,0.34,0.07,2,2,night owl,gymnastics,4,sophomore
306,307,49.99,west coast,evening,0.0,0.0,3,1,night owl,gymnastics,4,sophomore
306,307,0.0,west coast,noon,0.0,0.0,3,2,night owl,gymnastics,4,sophomore
306,307,38.47,west coast,noon,0.0,0.0,3,1,night owl,gymnastics,4,sophomore
306,307,22.86,west coast,evening,0.06,0.0,3,2,night owl,gymnastics,4,sophomore
306,307,0.0,west coast,noon,0.0,0.0,2,2,night owl,gymnastics,4,sophomore
306,307,15.13,west coast,noon,0.0,0.17,3,3,night owl,gymnastics,4,sophomore
306,307,0.0,west coast,noon,0.04,0.04,4,4,night owl,gymnastics,4,sophomore
