,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
154,155,22.32,east coast,evening,0.51,0.56,7,9,early bird,table tennis,3,sophomore
154,155,28.36,east coast,noon,0.68,0.2,7,10,early bird,table tennis,3,sophomore
154,155,23.11,east coast,noon,0.91,0.01,7,10,early bird,table tennis,3,sophomore
154,155,30.85,east coast,noon,1.0,0.01,7,9,early bird,table tennis,3,sophomore
154,155,50.34,east coast,noon,0.95,0.01,8,8,early bird,table tennis,3,sophomore
154,155,36.35,west coast,noon,0.8200000000000001,0.0,8,9,early bird,table tennis,3,sophomore
154,155,44.03,west coast,noon,0.51,0.01,8,10,early bird,table tennis,3,sophomore
154,155,31.55,west coast,noon,0.26,0.0,9,11,early bird,table tennis,3,sophomore
154,155,40.47,west coast,noon,0.68,0.0,8,12,early bird,table tennis,3,sophomore
154,155,45.45,west coast,morning,0.68,0.0,6,12,early bird,table tennis,3,sophomore
